Governor and Lieutenant Governor - Vote for not more than 1,,,,,,,
Choice,Party,Election Day Voting,,Absentee Voting,,Total,
Gretchen Whitmer Garlin D. Gilchrist II,DEM,325,24.15%,373,45.43%,698,32.21%
Tudor M. Dixon Shane Hernandez,REP,1,012,75.19%,438,53.35%,1,450,66.91%
Mary Buzuma Brian Ellison,LIB,8,0.59%,8,0.97%,16,0.74%
Donna Brandenburg Mellissa Carone,UST,1,0.07%,1,0.12%,2,0.09%
Kevin Hogan Destiny Clayton,GRE,0,0.00%,1,0.12%,1,0.05%
Daryl M. Simpson Doug Dern,NAL,0,0.00%,0,0.00%,0,0.00%
Bob Scott (W),0,0.00%,0,0.00%,0,0.00%,
Elizabeth Ann Adkisson (W),0,0.00%,0,0.00%,0,0.00%,
Ervin Joseph Lamie (W),0,0.00%,0,0.00%,0,0.00%,
Eugene Rosell Hunt Jr. (W),0,0.00%,0,0.00%,0,0.00%,
Evan S. Space (W),0,0.00%,0,0.00%,0,0.00%,
Joseph Irving (W),0,0.00%,0,0.00%,0,0.00%,
Joseph Michael Hunt (W),0,0.00%,0,0.00%,0,0.00%,
Joyce Priscilla Gipson (W),0,0.00%,0,0.00%,0,0.00%,
Justin Paul Blackburn (W),0,0.00%,0,0.00%,0,0.00%,
Michael David Kelley (W),0,0.00%,0,0.00%,0,0.00%,
Michael Ray Deck (W),0,0.00%,0,0.00%,0,0.00%,
,,,,Cast Votes:,1,346,100.00%,821,100.00%,2,167,100.00%
,,,,Undervotes:,4,5,9
,,,,Overvotes:,0,0,0
,,,,Rejected write-in votes:,1,0,1
,,,,Unresolved write-in votes:,0,0,0
