Straight Party Ticket - Vote for not more than 1,,,,,,,
Choice,Party,Election Day Voting,,Absentee Voting,,Total,
Democratic Party,DEM,116,15.43%,185,36.71%,301,23.96%
Republican Party,REP,629,83.64%,314,62.30%,943,75.08%
Libertarian Party,LIB,5,0.66%,3,0.60%,8,0.64%
U.S. Taxpayers Party,UST,0,0.00%,0,0.00%,0,0.00%
Working Class Party,WC,1,0.13%,1,0.20%,2,0.16%
Green Party,GRE,0,0.00%,1,0.20%,1,0.08%
Natural Law Party,NAL,1,0.13%,0,0.00%,1,0.08%
,Cast Votes:,752,100.00%,504,100.00%,1256,100.00%
,Undervotes:,599,,322,,921,
,Overvotes:,0,,0,,0,
,Rejected write-in votes:,0,,0,,0,
,Unresolved write-in votes:,0,,0,,0,
